cat1,cat2,cat3,value,description,generic_name,active_date,active_reason,deactive_date,deactive_reason,source
ndc,statin,simvastatin,00006053331,"Antihyperlipidemic Drugs, NEC",Simvastatin/Sitagliptin Phosphate,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00006053554,"Antihyperlipidemic Drugs, NEC",Simvastatin/Sitagliptin Phosphate,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00006054328,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00006072628,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00006074082,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00026288686,"Antihyperlipidemic Drugs, NEC",Cerivastatin Sodium,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,combination,,12280038630,"Antihyperlipidemic Drugs, NEC",Ezetimibe/Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,21695073930,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00093715619,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00093715656,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00006074982,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,55289033814,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00093715593,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,21695074290,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,00006074054,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
ndc,statin,simvastatin,16252050630,"Antihyperlipidemic Drugs, NEC",Simvastatin,2018-12-23,swar,,,RWD_DB.RWD_REFERENCE_LIBRARY.AMN_REDBOOK_LATEST
